stop_id,stop_name,stop_lat,stop_lon
20714,Woodland Av & 63rd St,39.927314,-75.231782
20715,Woodland Av & 62nd St,39.928017,-75.230765
20716,Woodland Av & 60th St,39.930217,-75.227642
20717,Woodland Av & 61st St,39.929041,-75.229287
20718,Woodland Av & 58th St,39.932309,-75.224673
20719,Woodland Av & 57th St,39.933297,-75.223289
20720,Woodland Av & 56th St,39.934339,-75.22181
20721,Woodland Av & 55th St,39.935292,-75.22045
20722,Woodland Av & 54th St,39.936262,-75.219054
20723,Woodland Av & 52nd St,39.938203,-75.216297
20724,Woodland Av & 51st St,39.938987,-75.215197
20725,Woodland Av & 50th St,39.939886,-75.213907
20726,Woodland Av & 48th St,39.941953,-75.211728
20727,Woodland Av & 46th St,39.944323,-75.209797
20728,Woodland Av & 45th St,39.94541,-75.208565
20729,Woodland Av & 42nd St,39.946675,-75.207121
20731,37th-Spruce,39.950993,-75.196586
20732,36th-Sansom,39.953854,-75.194533
20768,9th St & Ridge Av,39.919921,-75.260545
20770,9th St & Summit St,39.921142,-75.258866
20771,9th St & Summit St - MBFS,39.92205,-75.257482
20772,9th St & Cedar Av,39.922566,-75.255994
20773,Chester Av & Alfred Av,39.923697,-75.254279
20774,Yeadon,39.924525,-75.252542
20775,Chester Av & Stetser Av,39.925102,-75.250817
20776,Chester Av & Duncan Av,39.925617,-75.249175
20777,Chester Av & Yeadon Av,39.92607,-75.247486
20778,Chester Av & Church Ln,39.92631,-75.246565
20779,Chester Av & 65th St,39.929359,-75.244762
20781,65th St & Belmar Av,39.92905,-75.24108
20782,65th St & Chester Av,39.928628,-75.238897
20784,Kingsessing Av & 61st St,39.931045,-75.232386
20785,Kingsessing Av & 62nd St,39.929994,-75.233888
20786,Kingsessing Av & 60th St,39.932479,-75.230316
20787,60th St & Chester Av,39.933632,-75.231399
20788,Chester Av & 59th St,39.934754,-75.229944
20789,Chester Av & 48th St,39.944958,-75.215344
20790,Chester Av & 47th St,39.945901,-75.213984
20791,Chester Av & 57th St,39.936642,-75.227187
20792,Chester Av & 56th St,39.937701,-75.225661
20793,Chester Av & 55th St,39.938654,-75.224301
20794,Chester Av & 54th St,39.939607,-75.222952
20795,Chester Av & 53rd St,39.940577,-75.221556
20796,Chester Av & 52nd St,39.941539,-75.220184
20797,Chester Av & 51st St,39.942349,-75.219048
20799,Chester Av & 46th St,39.946827,-75.212682
20800,Chester Av & 45th St,39.9477,-75.211428
20801,Chester Av & 43rd St,39.948356,-75.209135
20802,Chester Av & 42nd St,39.948424,-75.207151
20804,40th St Portal,39.949533,-75.203333
20843,65th St & Kingsessing Av,39.927902,-75.23714
20859,Baltimore Av & 60th St,39.944299,-75.244429
20860,Baltimore Av & 59th St,39.945197,-75.241899
20861,Baltimore Av & 58th St,39.945783,-75.240304
20862,Baltimore Av & 57th St,39.946386,-75.237327
20863,Baltimore Av & 56th St,39.946785,-75.235602
20864,Baltimore Av & 55th St,39.947246,-75.233746
20865,Baltimore Av & 54th St,39.947742,-75.231466
20866,Baltimore Av & 53rd St,39.947766,-75.229612
20867,Baltimore Av & Broomall St,39.947727,-75.227912
20868,Baltimore Av & 51st St,39.947715,-75.225456
20869,Baltimore Av & 50th St,39.947872,-75.223377
20870,Baltimore Av & Florence Av,39.948312,-75.219503
20871,Baltimore Av & 47th St,39.94854,-75.217188
20872,Baltimore Av & 46th St,39.948786,-75.215061
20873,Baltimore Av & 45th St,39.949006,-75.213018
20874,Baltimore Av & 44th St,39.949181,-75.21127
20875,Baltimore Av & 43rd St,39.949481,-75.20932
20876,Baltimore Av & 42nd St,39.949736,-75.207265
20931,Elmwood Av & Island Av - MBFS,39.913266,-75.242998
20932,Elmwood Av & 73rd St,39.914129,-75.241816
20933,Elmwood Av & 72nd St,39.9151,-75.240408
20934,Elmwood Av & 71st St,39.91608,-75.239013
20935,Elmwood Av & 70th St,39.91713,-75.237452
20936,Elmwood Av & 69th St,39.918101,-75.236081
20937,Elmwood Av & 68th St,39.91925,-75.234425
20938,Elmwood Av & 67th St,39.920327,-75.232911
20939,Elmwood Av & 66th St,39.921236,-75.231587
20940,Elmwood Av & 65th St,39.922082,-75.230404
20941,Elmwood Av & 64th St,39.922972,-75.229126
20942,Elmwood Av & 63rd St,39.923934,-75.227778
20943,Elmwood Av & 62nd St,39.924842,-75.22656
20944,Elmwood Av & 61st St,39.926044,-75.224868
20946,Elmwood Av & 59th St,39.928039,-75.221994
20947,Elmwood Av & 58th St,39.928964,-75.220586
20948,Elmwood Av & 57th St,39.929935,-75.219226
20949,Elmwood Av & 56th St,39.930986,-75.217747
20950,Lindbergh Blvd & Wheeler St,39.932402,-75.216232
20951,Lindbergh Blvd & 54th St,39.9334,-75.215532
20952,Lindbergh Blvd & 53rd St,39.935121,-75.214358
20954,Grays Av & 51st St,39.936991,-75.212251
20955,49th St & Paschall Av,39.939819,-75.211286
20957,49th St & Woodland Av,39.940794,-75.212429
20958,Woodland Av & 47th St,39.943245,-75.210839
20965,Fern Rock Transit Center,40.04185,-75.136757
