source_id,target_id,weight
20873,20874,0.1503
20874,20875,0.1695
20875,20876,0.1775
20875,21456,0.193
20876,21456,0.05
20876,30820,0.1498
20931,20932,0.1392
20931,611,0.0886
20932,20933,0.1615
20932,611,0.0716
20933,20934,0.1613
20934,20935,0.1771
20935,20936,0.1591
20936,20937,0.1904
20937,20938,0.1761
20938,20939,0.1515
20939,20940,0.1379
20940,20941,0.1472
20941,20942,0.157
20942,20943,0.1449
20943,20944,0.1967
20944,20946,0.3306
20946,20947,0.1581
20947,20948,0.1584
20948,20949,0.1719
20949,20950,0.2037
20950,20951,0.126
20951,20952,0.216
20952,20954,0.2748
20954,20955,0.325
20955,20957,0.1458
20955,297,0.1579
20957,297,0.05
20965,33027,0.7516
20965,82,0.7475
20966,2439,2.5327
20966,343,0.05
20979,20981,0.3636
20981,20982,0.1627
20983,20984,0.2527
20984,650,0.2563
20986,20988,0.2399
20986,25779,0.5484
20988,20989,0.19
20989,20991,0.3715
20991,31540,0.028
20991,353,0.1491
20993,20994,0.1683
20993,342,0.2952
20994,20995,0.1365
20995,20996,0.167
20996,20998,0.2673
20998,20999,0.1563
20999,21001,0.3565
21001,21002,0.1366
21002,343,0.317
21005,21006,0.1338
21005,343,0.2874
21006,21008,0.1785
21008,30290,0.0966
21009,21010,0.1163
21009,30290,0.1328
21010,30791,0.4817
21014,21016,0.2002
21014,30791,0.1329
21016,21017,0.1342
21017,21018,0.1272
21018,21019,0.1385
21019,21021,0.2759
21021,21022,0.1256
21022,30291,0.7218
21025,30291,0.4493
21025,344,0.2468
21026,21027,0.2182
21026,344,0.1486
21027,21028,0.2835
21028,30550,0.3608
21030,21032,0.3868
21030,277,0.05
21030,30550,0.2378
21032,21033,0.2084
21033,21035,0.2431
21035,21037,0.3322
21037,21038,0.1393
21038,345,0.2788
21040,21041,0.1803
21040,345,0.1424
21041,21042,0.1835
21042,21481,0.1674
21044,21481,0.1856
21248,22129,0.7041
21248,2452,0.05
21248,279,0.0752
21422,21423,0.1385
21423,21424,0.1375
21424,279,0.1454
21456,30820,0.1519
21457,22127,0.1017
21457,30820,0.1222
21531,2440,0.4384
21531,2457,0.05
21532,2453,0.7083
217,2464,0.753
217,61,0.87
22127,672,0.2501
22128,22129,0.119
22128,672,0.1666
23992,31347,0.1192
23992,481,0.3076
24038,31347,0.1342
24038,31540,0.2809
2446,2447,0.4997
2446,416,0.5813
2447,2448,0.5191
2448,2449,0.6821
2449,2450,0.6881
2450,2451,0.9379
2451,2452,1.0418
2452,2453,0.9049
2452,279,0.0904
2455,2456,0.2698
2455,283,0.1079
2456,2457,0.4088
24568,305,0.2269
24568,32523,0.1787
2457,2458,0.4014
2458,428,0.4491
2459,353,0.9942
2459,428,1.2291
2460,2461,0.7764
2460,353,1.1082
2461,2462,0.5404
2462,797,0.5011
2463,60,0.7322
2463,838,1.0532
2464,838,0.8687
25779,650,0.193
283,31140,0.2395
283,33029,0.1342
305,32523,0.0487
305,32523,0.05
31140,33029,0.1055
31540,353,0.1431
31790,416,0.0694
33027,82,0.05
342,353,0.05
342,481,0.1476
353,481,0.1534
60,797,0.9535
